,subscriber,id,marca,color,placa
0,True,5116c967e72949b7acc7fbbd4e055f2b,toyota,DarkSlateGray,SQL925
1,False,9e4e13ff9e614bbaa8cfa05088af55d3,mercedes,LemonChiffon,VCH21X
2,True,0289f0a3cb2343fab4a34321260c291e,toyota,PaleGreen,T7148
3,False,f7ee5ea39bb44fd1ae2004265fc7b7d5,peugeot,MediumAquaMarine,ZWT269
4,False,f72b83664f1d41228577c56b825c76d1,audi,White,NGR818
5,False,ebb33dbd239042c1b52c5c4bb1d5e543,renault,MediumVioletRed,GHH584
6,True,3e5bfce3608a48a588a0a255b41a3f10,seat,DarkSalmon,LEX499
7,False,b31fee5937234eb389c3745bafe22a58,peugeot,Crimson,TQY434
8,True,af62f32dc640431d98d2ba22576db43b,renault,LightSkyBlue,UWP155
9,True,b5723749deab49eaa1e4507ee19f9464,kia,CornflowerBlue,KQD991
10,True,240ae68bcd704137adadfcb771aff5d0,audi,LightSeaGreen,EGQ145
11,False,9c9a3885e4b1465a9599718ae25eaa84,hyundai,DarkMagenta,S47643
12,False,4b47486fdf82475caf3d65b3e2c96595,renault,FloralWhite,SJJ73E
13,False,ba59991507734c30be4a610ea8fcad6e,hyundai,DeepSkyBlue,VDW852
14,False,7e7da74b5e244126bc8646622c53a4ba,kia,DarkSalmon,KRP038
15,True,049b43cd32734e8fa2190250badb2d63,renault,Black,PNQ36N
16,False,9697c42e00404c68a85fe41fd09a5435,renault,PeachPuff,T0719
17,True,f69d8e792a5042a0ac228d3687c7017b,volvo,LightYellow,T4392
18,True,33284bebe7234e4497f7c071141b11a5,volkswagen,Pink,FZT796
19,True,de4118ba204444f79b764438c690e4f3,seat,Ivory,KEK727
20,False,d4870ea2f27d4d4fb09d27b9caa01c66,peugeot,BlueViolet,TFU132
21,True,30c5deb9b9784276aca8f3e4c6555ebe,seat,SandyBrown,MCW214
22,True,7f8a4fd3d6e4411eb58d9fc007dd67ef,ford,SkyBlue,HXH995
23,True,f927f8f52fb24647af58ac567d5e005f,toyota,Magenta,OGJ727
24,False,f438a82e33e04296ae5da432a932405c,ford,Coral,KPD863
25,True,2760465e26c94c40be8b74588f2a8ebb,renault,OrangeRed,S00558
26,False,84f0fd3c44574e3da69eca348666afb4,volkswagen,Teal,PME188
27,False,02748a9e5161442aae3cf055540beb39,kia,Cornsilk,GHH542
28,True,9f0c8556f53c44619a51b3702560b806,audi,Thistle,BGC51H
29,True,cb9b72fe044d4594800c6964a1050d13,ford,Fuchsia,WWJ047
30,False,fb752ff0f0934901a1ed59a3c6b791dd,audi,SlateBlue,RGG36E
31,True,098022ae736b4c91aaed6d18e393b126,hyundai,PapayaWhip,S68949
32,False,55c64ff20de94582997560e791d1a88b,renault,DarkViolet,QWD51B
33,False,59670fa47aa147a1aa2043457a7d0946,peugeot,Maroon,YYG836
34,False,413824f7f07b42c6bfbb8554145139d7,hyundai,CornflowerBlue,ANC263
35,False,6467b15c5a5f4f55aafba57ce273cd1f,volvo,LawnGreen,IGY66U
36,True,fcb6ea570e754743a95e0bfc88fb5995,audi,Fuchsia,FTP33A
37,True,7a21d8c1aaa94fc08550989b06693853,toyota,DarkSlateGray,INT02E
38,True,bd65e849ac8445578794d1bd58a3bfea,toyota,Cornsilk,FGV958
39,False,ccc091b24c6749b5bba0845da46d0fb2,mercedes,Tomato,PII729
40,False,5001625dd30a4a2aa290a286743c9780,audi,White,WTH33Q
41,False,f0803119337b4734a0c4c4447eb91e97,ford,Chartreuse,WCP69U
42,True,36d26f78b66243008e0604a2708cb672,citroen,MediumOrchid,BZE311
43,False,27282e285b2547d0a09461c04b4a8b0b,citroen,Lime,BOQ473
44,True,39322b97f7af4620974abcf98b9410ed,renault,Peru,SVZ303
45,True,f7b4adb58d4f487c93ffc5dcd3518e6e,bmw,LavenderBlush,LXI413
46,True,7bf857f401a94b768644d0197f2c0f19,toyota,White,QPI61P
47,False,d3c658e2cfb143dfbcbb2b3198b8022f,hyundai,SandyBrown,CCZ677
48,False,93e0fc798c0b4519a765bb146c817854,citroen,DarkBlue,LCM418
